cas_rn,substance,regs,syns
16545-54-3,DIMYRISTYL THIODIPROPIONATE,178.201,"[""DITETRADECYL 3,3'-THIOBIS(PROPANOATE)"", ""DITETRADECYL 3,3'-THIOBIS(PROPIONATE)"", ""DIMYRISTYL 3,3'-THIODIPROPIONATE"", 'MYRISTYL THIODIPROPIONATE', ""PROPANOIC ACID, 3,3'-THIOBIS-, DITETRADECYL ESTER"", ""PROPIONIC ACID, 3,3'-THIOBIS-, DITETRADECYL ESTER""]"
1323-70-2,DI-BETA-NAPHTHYL-P-PHENYLENEDIAMINE,"175.105, 175.3, 177.121","['DI-2-NAPHTHALENYL-1,4-BENZENEDIAMINE', 'DI-2-NAPHTHYL-P-PHENYLENEDIAMINE', 'P-PHENYLENEDIAMINE, DI-2-NAPHTHYL-', '1,4-BENZENEDIAMINE, DI-2-NAPHTHALENYL-']"
93-46-9,"N,N'-DI-BETA-NAPHTHYL-P-PHENYLENEDIAMINE",177.26,"[""N,N'-BIS(2-NAPHTHYL)-P-PHENYLENEDIAMINE"", ""N,N'-DI-2-NAPHTHALENYL-1,4-BENZENEDIAMINE"", ""P-PHENYLENEDIAMINE, N,N'-DI-2-NAPHTHYL-"", ""N,N'-DI-2-NAPHTHYL-P-PHENYLENEDIAMINE"", 'DI-BETA-NAPHTHYL-P-PHENYLENEDIAMINE, SYM-', ""1,4-BENZENEDIAMINE, N,N'-DI-2-NAPHTHALENYL-""]"
105-12-4,"DINITROSOBENZENE, P-",,"['DINITROSOBENZENE, P-', 'BENZENE, 1,4-DINITROSO-', 'BENZENE, P-DINITROSO-']"
151-32-6,DINONYL ADIPATE,,[]
3011-61-8,"4,6-DINONYL-O-CRESOL","175.105, 177.26","['PHENOL, 2-METHYL-4,6-DINONYL-', 'O-CRESOL, 4,6-DINONYL-', '2-METHYL-4,6-DINONYLPHENOL', '4,6-DINONYL-O-CRESOL']"
1323-65-5,DINONYLPHENOL,175.105,"['PHENOL, DINONYL-']"
9014-93-1,"ALPHA-(DINONYLPHENYL)-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL)",176.2,"['ALPHA-(DINONYLPHENYL)-OMEGA-HYDROXYPOLY(OXY-1,2-ETHANEDIYL)', 'NONYL NONOXYNOL', 'PEG MONO(DINONYLPHENYL) ETHER', 'POLY(OXY-1,2-ETHANEDIYL), ALPHA-(DINONYLPHENYL)-OMEGA-HYDROXY-']"
123-79-5,DIOCTYL ADIPATE,177.26,"['HEXANEDIOIC ACID, DIOCTYL ESTER', 'DIOCTYL HEXANEDIOATE', 'ADIPIC ACID, DIOCTYL ESTER']"
26603-23-6,DIOCTYLDIPHENYLAMINE,175.105,"['BENZENAMINE, AR-OCTYL-N-(OCTYLPHENYL)-', 'AR-OCTYL-N-(OCTYLPHENYL)BENZENAMINE', ""DIPHENYLAMINE, AR,AR'-DIOCTYL-"", ""AR,AR'-DIOCTYLDIPHENYLAMINE"", 'BIS(OCTYLPHENYL)AMINE', 'DI(OCTYLPHENYL)AMINE']"
1241-28-7,"N,N'-DIOCTYL-P-PHENYLENEDIAMINE",177.26,"[""N,N'-DIOCTYL-1,4-BENZENEDIAMINE"", ""P-PHENYLENEDIAMINE, N,N'-DIOCTYL-"", ""1,4-BENZENEDIAMINE, N,N'-DIOCTYL-""]"
2432-87-3,DIOCTYL SEBACATE,"175.105, 175.3, 177.121, 177.26, 178.391","['DECANEDIOIC ACID, DIOCTYL ESTER', 'DIOCTYL DECANEDIOATE', 'SEBACIC ACID, DIOCTYL ESTER']"
577-11-7,DIOCTYL SODIUM SULFOSUCCINATE,"73.1, 172.52, 172.808, 172.81, 175.105, 175.3, 175.32, 176.17, 176.18, 176.21, 177.12, 177.28, 178.101, 178.34, 131.130 ,  131.132 ,  133.124 ,  133.133 ,  133.134 ,  133.162 ,  133.178 ,  133.179 ,  163.117 ,  169.115 ,  169.150","['SODIUM DIOCTYL SULFOSUCCINATE, ISO', 'SODIUM BIS(2-ETHYLHEXYL) SULFOSUCCINATE', 'SODIUM DI(2-ETHYLHEXYL) SULFOSUCCINATE', 'BUTANEDIOIC ACID, SULFO-, 1,4-BIS(2-ETHYLHEXYL) ESTER, SODIUM SALT', 'SUCCINIC ACID, SULFO-, 1,4-BIS(2-ETHYLHEXYL) ESTER, SODIUM SALT', 'SODIUM 1,4-BIS(2-ETHYLHEXYL) SULFOBUTANEDIOATE', 'SODIUM 1,4-BIS(2-ETHYLHEXYL) SULFOSUCCINATE', 'DIOCTYL SODIUM SULFOSUCCINATE, ISO', 'DSS', 'SODIUM DOCUSATE', 'SODIUM DIOCTYL SULFOSUCCINATE', 'DIETHYLHEXYL SODIUM SULFOSUCCINATE']"
977081-59-6,DIOCTYLTIN BIS(ALKYL(C10-16) THIOGLYCOLATE),178.265,"['ALKYL(C10-16) THIOGLYCOLATE WITH DIOCTYLTIN DICHLORIDE', 'C10-16 ALKYL MERCAPTOACETATE REACTION PRODUCTS WITH DICHLORODIOCTYLSTANNANE']"
10039-33-5,DIOCTYLTIN BIS(2-ETHYLHEXYL MALEATE),"177.12, 178.201","['BIS(2-ETHYLHEXYL) BIS((3-CARBOXYACRYLOYL)OXY)DIOCTYLSTANNANE', 'BIS(2-ETHYLHEXYL) BIS((3-CARBOXYACRYLOYL)OXY)DIOCTYLTIN', 'STANNANE, BIS((3-CARBOXYACRYLOYL)OXY)DIOCTYL-, BIS(2-ETHYLHEXYL) ESTER', 'TIN, BIS((3-CARBOXYACRYLOYL)OXY)DIOCTYL-, BIS(2-ETHYLHEXYL) ESTER', '2-ETHYLHEXYL 14-ETHYL-6,6-DIOCTYL-4,8,11-TRIOXO-5,7,12-TRIOXA-6-STANNAOCTADECA-2,9-DIENOATE', '5,7,12-TRIOXA-6-STANNAOCTADECA-2,9-DIENOIC ACID, 14-ETHYL-6,6-DIOCTYL-4,8,11-TRIOXO-, 2-ETHYLHEXYL ESTER']"
26401-97-8,"DI(N-OCTYL)TIN S,S'-BIS(ISOOCTYLMERCAPTOACETATE)",178.265,"[""ACETIC ACID, 2,2'-((DIOCTYLSTANNYLENE)BIS-, DIISOCTYL ESTER"", 'ACETIC ACID, ((DIOCTYLSTANNYLENE)DITHIO)DI-, DIISOOCTYL ESTER', 'DIOCTYLTIN BIS(ISOOCTYL MERCAPTOACETATE)', ""DI(N-OCTYL)TIN S,S'-BIS(ISOOCTYL MERCAPTOACETATE)"", 'DIISOOCTYL ((DIOCTYLSTANNYLENE)DITHIO)DIACETATE', ""DIISOOCTYL 2,2'-((DIOCTYLSTANNYLENE)BIS(ACETATE)"", 'DIISOOCTYL BIS((CARBOXYMETHYL)THIO)DIOCTYLTIN', ""DIOCTYLTIN S,S'-BIS(ISOOCTYL MERCAPTOACETATE)"", 'ISOOCTYL ALCOHOL, ((DIOCTYLSTANNYLENE)DITHIO)DIACETATE (2:1)']"
16091-18-2,DI(N-OCTYL) TIN MALEATE,178.265,"['DI(N-OCTYL)TIN MALEATE', '2,2-DIOCTYL-1,3,2-DIOXASTANNEPIN-4,7-DIONE', 'OCTYLTIN MALEATE', '1,3,2-DIOXASTANNEPIN-4,7-DIONE, 2,2-DIOCTYL-']"
870-08-6,DIOCTYLTIN OXIDE,178.265,"['DIOCTYLOXOSTANNANE', 'DI(N-OCTYL)TIN OXIDE', 'STANNANE, DIOCTYLOXO-', 'TIN, DIOCTYLOXO-', 'DIOCTYLOXOTIN']"
110-31-6,"N,N'-DIOLEOYLETHYLENEDIAMINE","175.3, 175.32, 176.17, 176.18, 177.12, 178.386","['ETHYLENEBIS(OLEAMIDE)', ""N,N'-DIOLEOYLETHYLENEDIAMINE"", ""OLEAMIDE, N,N'-ETHYLENEBIS-"", ""N,N'-1,2-ETHANEDIYLBIS(9-OCTADECENAMIDE), (Z,Z)-"", ""9-OCTADECENAMIDE, N,N'-1,2-ETHANEDIYLBIS-, (Z,Z)-""]"
123-91-1,"1,4-DIOXANE",175.105,"['DIOXANE, P-', '1,4-DIETHYLENE DIOXIDE', 'DIOXANE', 'TETRAHYDRO-1,4-DIOXIN', 'P-DIOXANE', 'NSC-8728', '1,4-DIOXACYCLOHEXANE', 'InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2', 'InChIKey: RYHBNJHYFVUHQT-UHFFFAOYSA-N']"
126-58-9,DIPENTAERYTHRITOL,175.105,"[""1,3-PROPANEDIOL, 2,2'-(OXYBIS(METHYLENE))BIS(2-(HYDROXYMETHYL)-"", ""2,2'-(OXYBIS(METHYLENE))BIS(2-(HYDROXYMETHYL)1,3-PROPANEDIOL)"", 'BIS(PENTAERYTHRITOL)']"
20190-00-5,DIPENTAERYTHRITOL PENTASTEARATE,175.105,"['STEARIC ACID, PENTAESTER WITH DIPENTAERYTHRITOL']"
971-15-3,DIPENTAMETHYLENETHIURAM HEXASULFIDE,177.26,"['BIS(PIPERIDINOTHIOCARBONYL) HEXASULFIDE', 'HEXASULFIDE, BIS(PIPERIDINOTHIOCARBONYL)', ""PIPERIDINE, 1,1'-(HEXATHIODICARBONOTHIOYL)BIS-"", ""1,1'-(HEXATHIODICARBONOTHIOYL)BISPIPERIDINE""]"
120-54-7,DIPENTAMETHYLENETHIURAM TETRASULFIDE,"175.105, 175.3, 177.121","['BIS(PIPERIDINOTHIOCARBONYL) TETRASULFIDE', ""PIPERIDINE, 1,1'-(TETRATHIODICARBONOTHIOYL)BIS-"", 'TETRASULFIDE, BIS(PIPERIDINOTHIOCARBONYL)', ""1,1'-(TETRATHIODICARBONOTHIOYL)BIS(PIPERIDINE)""]"
138-86-3,DIPENTENE,"175.3, 177.26","['P-MENTHA-1,8-DIENE', '1,8-P-MENTHADIENE', 'CINENE', '1-METHYL-4-(1-METHYLETHENYL)CYCLOHEXENE', 'CYCLOHEXENE, 1-METHYL-4-(1-METHYLETHENYL)-', 'KAUTSCHIN', '4-ISOPROPENYL-1-METHYLCYCLOHEXENE']"
895-85-2,DI(4-METHYLBENZOYL)PEROXIDE,177.26,"['DI(4-METHYLBENZOYL) PEROXIDE', 'P-TOLUOYL PEROXIDE', 'PEROXIDE, BIS(4-METHYLBENZOYL)', 'TOLUOYL PEROXIDE, P-', '4-METHYLBENZOYL PEROXIDE']"
122-39-4,DIPHENYLAMINE,"175.105, 175.3, 176.17, 176.18, 177.26","['DPA', 'BENZENAMINE, N-PHENYL-', 'N-PHENYLBENZENAMINE']"
51706-10-6,"DIPHENYL 1,3-BENZENEDICARBOXYLATE-DIPHENYL 1,4-BENZENEDICARBOXYLATE-4,4'-(1-METHYLETHYLIDENE)BIS(PHENOL) COPOLYMER",177.1555,"[""DIPHENYL 1,3-BENZENEDICARBOXYLATE-DIPHENYL 1,4-BENZENEDICARBOXYLATE-4,4'-(1-METHYLETHYLIDENE(BIS(PHENOL)) COPOLYMER"", ""1,3-BENZENEDICARBOXYLIC ACID, DIPHENYL ESTER, POLYMER WITH DIPHENYL 1,4-BENZENEDICARBOXYLATE AND 4,4'-(1-METHYLETHYLIDENE)BIS(PHENOL)""]"
102-09-0,DIPHENYL CARBONATE,177.158,[]
150-61-8,"N,N'-DIPHENYLETHYLENEDIAMINE",177.26,"[""ETHYLENEDIAMINE, N,N'-DIPHENYL-"", ""N,N'-ETHYLENEDIANILINE"", ""N,N'-DIPHENYL-1,2-ETHANEDIAMINE"", ""N,N'-DIPHENYL-ALPHA,OMEGA-DIAMINOETHANE"", ""N,N'-DIPHENYL-1,2-DIAMINOETHANE"", ""N,N'-DIPHENYL-1,2-ETHYLENEDIAMINE"", '1,2-DIANILINOETHANE', ""1,2-ETHANEDIAMINE, N,N'-DIPHENYL-"", '1,2-BIS(PHENYLAMINO)ETHANE']"
1241-94-7,DIPHENYL-2-ETHYLHEXYL PHOSPHATE,"175.105, 175.3, 175.32, 181.27","['DIPHENYL OCTYL PHOSPHATE, ISO', '2-ETHYLHEXYL DIPHENYL PHOSPHATE', 'OCTYL DIPHENYL PHOSPHATE, ISO', 'DIPHENYL 2-ETHYLHEXYL PHOSPHATE', 'PHOSPHORIC ACID, 2-ETHYLHEXYL DIPHENYL ESTER']"
102-06-7,"1,3-DIPHENYLGUANIDINE",177.26,"['DIPHENYLGUANIDINE', 'MELANILINE', ""N,N'-DIPHENYLGUANIDINE""]"
26447-40-5,DIPHENYLMETHANE DIISOCYANATE,"177.168, 177.26","[""BENZENE, 1,1'-METHYLENEBIS(ISOCYANATO-"", 'ISOCYANIC ACID, METHYLENEDIPHENYLENE ESTER', 'METHYLENEDIPHENYL DIISOCYANATE', 'METHYLENEDIPHENYLENE ISOCYANATE', ""1,1'-METHYLENEBIS(ISOCYANATOBENZENE)""]"
74-31-7,"N,N'-DIPHENYL-P-PHENYLENEDIAMINE","175.105, 175.32, 176.17","['DIPHENYL-P-PHENYLENEDIAMINE', ""N,N'-DIPHENYL-1,4-BENZENEDIAMINE"", ""N,N'-DIPHENYL-1,4-PHENYLENEDIAMINE"", ""P-PHENYLENEDIAMINE, N,N'-DIPHENYL-"", ""1,4-BENZENEDIAMINE, N,N'-DIPHENYL-"", '1,4-BIS(PHENYLAMINO)BENZENE', '1,4-DIANILINOBENZENE', ""4,4'-DIPHENYL-P-PHENYLENEDIAMINE"", '4-PHENYLAMINODIPHENYLAMINE']"
63148-59-4,DIPHENYL POLYSILOXANE,175.105,"['DIPHENYLSILOXANE', 'DIPHENYL SILOXANES AND SILICONES', 'SILOXANES AND SILICONES, DI-PH']"
80-09-1,DIPHENYLSULFONE,177.244,"['BISPHENOL S', ""PHENOL, 4,4'-SULFONYLBIS-"", ""PHENOL, 4,4'-SULFONYLDI-"", ""4,4'-DIHYDROXYDIPHENYL SULFONE"", ""4,4'-SULFONYLBIS(PHENOL)"", ""4,4'-BISPHENOL S"", ""4,4'-SULFONYLBISPHENOL""]"
102-08-9,"1,3-DIPHENYL-2-THIOUREA","175.105, 177.26, 178.201","['DIPHENYLTHIOUREA, SYM-', 'CARBANILIDE, THIO-', ""N,N'-DIPHENYLTHIOUREA"", ""N,N'-DIPHENYLTHIOCARBAMIDE"", 'SULFOCARBANILIDE', 'THIOCARBANILIDE', ""THIOUREA, N,N'-DIPHENYL-""]"
147315-50-2,"2-(4,6-DIPHENYL-1,3,5-TRIAZIN-2-YL)-5-HEXYLOXY)PHENOL",178.201,"['PHENOL, 2-(4,6-DIPHENYL-1,3,5-TRIAZIN-2-YL)-5-(HEXYLOXY)-', '2-(4,6-DIPHENYL-1,3,5-TRIAZIN-2-YL)-5-(HEXYLOXY)PHENOL']"
1809-14-9,DI(N-OCTYL)PHOSPHITE,178.357,"['PHOSPHONIC ACID, DIOCTYL ESTER', 'DIOCTYL PHOSPHONATE', 'DIOCTYL HYDROGEN PHOSPHITE']"
117-81-7,DI(2-ETHYLHEXYL) PHTHALATE,"175.105, 175.3, 175.38, 175.39, 176.17, 176.18, 176.21, 177.101, 177.12, 177.121, 177.14, 178.391, 181.27","['BIS(2-ETHYLHEXYL) 1,2-BENZENEDICARBOXYLATE', 'DI(2-ETHYLHEXYL) PHTHALATE', 'DIOCTYL PHTHALATE (BIS(2-ETHYLHEXYL) PHTHALATE)', 'DI(ETHYLHEXYL) PHTHALATE', 'DEHP', 'DIETHYLHEXYL PHTHALATE', 'ETHYLHEXYL PHTHALATE', 'DI-2-ETHYLHEXYL PHTHALATE', 'PHTHALIC ACID, BIS(2-ETHYLHEXYL) ESTER', '1,2-BENZENEDICARBOXYLIC ACID, BIS(2-ETHYLHEXYL) ESTER']"
3609-96-9,DIPOTASSIUM CITRATE,175.105,"['DIPOTASSIUM HYDROGEN CITRATE', '1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, DIPOTASSIUM SALT', 'DIPOTASSIUM 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE']"
10039-34-6,DIPOTASSIUM ETHYLENEBISDITHIOCARBAMATE,176.3,"['DIPOTASSIUM ETHYLENEBIS(DITHIOCARBAMATE)', 'CARBAMODITHIOIC ACID, 1,2-ETHANEDIYLBIS-, DIPOTASSIUM SALT', 'DIPOTASSIUM 1,2-ETHANEDIYLBIS(CARBAMODITHIOATE)', 'CARBAMIC ACID, ETHYLENEBIS(DITHIO-, DIPOTASSIUM SALT', 'POTASSIUM 1,2-BIS(DITHIOCARBAMATO)ETHANE', 'POTASSIUM 1,2-ETHANEBIS(DITHIOCARBAMATE)', 'POTASSIUM ETHYLENEBIS(DITHIOCARBAMATE)']"
7758-11-4,DIPOTASSIUM PHOSPHATE,"73.85, 175.105, 182.6285, 133.169 ,  133.173 ,  133.179","['DIPOTASSIUM PHOSPHATE', 'DIPOTASSIUM HYDROGEN PHOSPHATE', 'DIPOTASSIUM MONOPHOSPHATE', 'DIPOTASSIUM ORTHOPHOSPHATE', 'POTASSIUM MONOPHOSPHATE', 'POTASSIUM MONOHYDROGEN PHOSPHATE', 'PHOSPHORIC ACID, DIPOTASSIUM SALT']"
25265-71-8,DIPROPYLENE GLYCOL,"175.105, 175.32, 176.17, 176.2, 177.12, 177.242, 178.391","['PROPANOL, OXYBIS-', 'OXYBIS(PROPANOL)']"
9011-80-7,DIPROPYLENE GLYCOL COPOLYMER OF ADIPIC ACID AND PHTHALIC ANHYDRIDE,175.105,"['DIPROPYLENE GLYCOL-ADIPIC ACID-PHTHALIC ANHYDRIDE COPOLYMER', 'HEXANEDIOIC ACID, POLYMER WITH 1,3-ISOBENZOFURANDIONE AND OXYBIS(PROPANOL)', 'POLY(HEXANEDIOIC ACID-CO-1,3-ISOBENZOFURANDIONE-CO-OXYBIS(PROPANOL))']"
27138-31-4,DIPROPYLENE GLYCOL DIBENZOATE,"175.105, 176.17, 176.18","['PPG-2 DIBENZOATE', 'PROPANOL, OXYBIS-, DIBENZOATE', 'OXYBIS(PROPYL) DIBENZOATE']"
64111-89-3,DIPROPYLENE GLYCOL DIMETHACRYLATE,177.101,"['OXYBIS(METHYL-2,1-ETHANEDIYL) BIS(2-METHYL-2-PROPENOATE)', '2-PROPENOIC ACID, 2-METHYL-, OXYBIS(METHYL-2,1-ETHANEDIYL) ESTER']"
34590-94-8,DIPROPYLENE GLYCOL MONOMETHYL ETHER,"175.105, 176.18, 176.3","['DIPROPYLENE GLYCOL METHYL ETHER', 'PROPANOL, 1(OR 2)-(2-METHOXYMETHYLETHOXY)-', '1(OR 2)-(2-METHOXYMETHYLETHOXY)PROPANOL']"
1336-58-9,"N,N'-DISALICYLALPROPYLENEDIAMINE",177.26,"['BENZALDEHYDE, ((1-METHYL-1,2-ETHANEDIYL)DIIMINO)BIS(2-HYDROXY-', '((1-METHYL-1,2-ETHANEDIYL)DIIMINO)BIS(2-HYDROXYBENZALDEHYDE)']"
94-91-7,"N,N'-DISALICYLIDENE-1,2-PROPYLENEDIAMINE",,"[""ALPHA,ALPHA'-(PROPYLENEDINITRILO)DI-O-CRESOL"", 'BIS(SALICYLIDENE)PROPYLENEDIAMINE', ""PHENOL, 2,2'-((1-METHYL-1,2-ETHANEDIYL)BIS(NITRILOMETHYLIDYNE))BIS-"", ""O-CRESOL, ALPHA,ALPHA'-(PROPYLENEDINITRILO)DI-"", ""N,N'-1,2-PROPYLENEBIS(SALICYLIDENEAMINE)"", ""N,N'-DISALICYLIDENE-1,2-DIAMINOPROPANE"", ""N,N'-DISALICYLIDENE-1,2-PROPANEDIAMINE"", ""N,N'-PROPYLENEBIS(SALICYLIDENEIMINE)"", ""2,2'-((1-METHYL-1,2-ETHANEDIYL)BIS(NITRILOMETHYLIDYNE))BIS(PHENOL)""]"
122-62-3,DI(2-ETHYLHEXYL) SEBACATE,"177.121, 178.391","['BIS(2-ETHYLHEXYL) DECANEDIOATE', 'DI(2-ETHYLHEXYL) SEBACATE', 'DECANEDIOIC ACID, BIS(2-ETHYLHEXYL) ESTER', 'DI-2-ETHYLHEXYL SEBACATE', 'DIETHYLHEXYL SEBACATE', 'SEBACIC ACID, BIS(2-ETHYLHEXYL) ESTER']"
31291-60-8,DI-SEC-BUTYLPHENOL,178.34,['BIS(1-METHYLPROPYL)PHENOL']
2444-90-8,DISODIUM BISPHENOL A,177.158,"[""DISODIUM 4,4'-ISOPROPYLIDENEDIPHENOL"", ""PHENOL, 4,4'-(1-METHYLETHYLIDENE)BIS-, DISODIUM SALT"", ""DISODIUM 4,4'-(1-METHYLETHYLIDENE)BIS(PHENOL)"", ""PHENOL, 4,4'-ISOPROPYLIDENEDI-, DISODIUM SALT"", 'SODIUM, (ISOPROPYLIDENEBIS(P-PHENYLENEOXY)DI-', '(ISOPROPYLIDENEBIS(P-PHENYLENEOXY)DISODIUM)', ""PHENOL, 4,4'-ISOPROPYLIDENEDI-, DISODIUM DERIV.""]"
977186-05-2,DISODIUM CYANODITHIOIMIDOCARBAMATE WITH ETHYLENEDIAMINE AND POTASSIUM N-METHYLDITHIOCARBAMATE AND SODIUM 2-MERCAPTOBENZOTHIAZOLE,181.3,[]
138-93-2,DISODIUM CYANODITHIOIMIDOCARBONATE,"173.32, 175.105, 176.3, 178.312, 181.3","['CARBAMODITHIOIC ACID, CYANO-, DISODIUM SALT', 'DISODIUM CYANOCARBAMODITHIOATE', 'DISODIUM CYANODITHIOCARBAMATE', 'IMIDOCARBONIC ACID, CYANODITHIO-, DISODIUM SALT']"
17265-14-4,DISODIUM DECANEDIOATE,178.357,"['DISODIUM DECANEDIOATE', 'DECANEDIOIC ACID, DISODIUM SALT', 'SEBACIC ACID, DISODIUM SALT']"
36445-71-3,DISODIUM DECYLPHENOXYBENZENEDISULFONATE,178.34,"['BENZENESULFONIC ACID, DECYL(SULFOPHENOXY)-, DISODIUM SALT', 'DISODIUM DECYL(SULFOPHENOXY)BENZENESULFONATE']"
70146-13-3,DISODIUM DIDECYLPHENOXYBENZENEDISULFONATE,178.34,"['BENZENESULFONIC ACID, OXYBIS(DECYL-, DISODIUM SALT', 'DISODIUM OXYBIS(DECYLBENZENESULFONATE)']"
25167-32-2,DISODIUM DIDODECYLPHENOXYBENZENEDISULFONATE,178.34,"['BENZENESULFONIC ACID, OXYBIS(DODECYL-, DISODIUM SALT', 'DISODIUM OXYBIS(DODECYLBENZENESULFONATE)']"
70191-76-3,DISODIUM DIHEXADECYLPHENOXYBENZENEDISULFONATE,178.34,"['BENZENESULFONIC ACID, OXYBIS(HEXADECYL-, DISODIUM SALT', 'DISODIUM OXYBIS(HEXADECYLBENZENESULFONATE)']"
108389-20-4,DISODIUM DITETRADECYLPHENOXYBENZENEDISULFONATE,178.34,"['BENZENESULFONIC ACID, OXYBIS(TETRADECYL-, DISODIUM SALT', 'DISODIUM OXYBIS(TETRADECYLBENZENESULFONATE)']"
142-59-6,DISODIUM ETHYLENEBISDITHIOCARBAMATE,"173.32, 176.18, 176.3","['DISODIUM ETHYLENEBISDITHIOCARBAMATE', 'DISODIUM ETHYLENEBIS(DITHIOCARBAMATE)', 'CARBAMODITHIOIC ACID, 1,2-ETHANEDIYLBIS-, DISODIUM SALT', 'DISODIUM 1,2-ETHANEDIYLBIS(CARBAMODITHIOATE)', 'CARBAMIC ACID, ETHYLENEBIS(DITHIO-, DISODIUM SALT']"
37294-49-8,DISODIUM 4-ISODECYL SULFOSUCCINATE,"175.105, 178.34","['BUTANEDIOIC ACID, SULFO-, C-ISODECYL ESTER, DISODIUM SALT', 'DISODIUM 1(or 4)-ISODECYL SULFOSUCCINATE', 'DISODIUM 1(OR 4)-ISODECYL SULFOBUTANEDIOATE', 'DISODIUM C-ISODECYL SULFOBUTANEDIOATE', 'butanedioic acid, 2-sulfo-, 1(or 4)-isodecyl ester, sodium salt (1:2)', 'disodium C-isodecyl sulfosuccinate', 'sodium 1(or 4)-isodecyl 2-sulfobutanedioate (2:1)']"
26469-98-7,DISODIUM N-OCTADECYLSULFOSUCCINAMATE,"176.17, 176.18","['BUTANOIC ACID, 4-(OCTADECYLAMINO)-4-OXOSULFO-, DISODIUM SALT', 'DISODIUM 4-(OCTADECYLAMINO)-4-OXOSULFOBUTANOATE', 'SUCCINAMIC ACID, N-OCTADECYLSULFO-, DISODIUM SALT']"
24614-51-5,DISODIUM N-OCTADECYLSULFOSUCCINATE,176.17,"['BUTANEDIOIC ACID, SULFO-, 4-OCTADECYL ESTER, DISODIUM SALT', 'DISODIUM OCTADECYLSULFOSUCCINAMATE', 'DISODIUM 4-OCTADECYL SULFOBUTANEDIOATE', 'DISODIUM 4-OCTADECYL SULFOSUCCINATE', 'SUCCINIC ACID, SULFO-, 4-OCTADECYL ESTER, DISODIUM SALT']"
9040-38-4,DISODIUM PEG NONYLPHENYL ETHER SULFOSUCCINATE,"175.105, 178.34","['DISODIUM NONOXYNOL SULFOSUCCINATE', 'DISODIUM POLYETHYLENE GLYCOL NONYLPHENYL ETHER SULFOSUCCINATE', 'DISODIUM ALPHA-(3-CARBOXY-1-OXO-3-SULFOPROPYL)-OMEGA-(NONYLPHENOXY)POLY(OXY-1,2-ETHANEDIYL)', 'POLY(OXY-1,2-ETHANEDIYL), ALPHA-(3-CARBOXY-1-OXO-3-SULFOPROPYL)-OMEGA-(NONYLPHENOXY)-, DISODIUM SALT', 'SULFOSUCCINIC ACID 4-ESTER WITH POLYETHYLENE GLYCOL NONYLPHENYL ETHER, DISODIUM SALT']"
73347-80-5,"DISODIUM SALT OF 1,4-DIHYDRO-9,10-DIHYDROXYANTHRACENE",176.17,"['DISODIUM 1,4-DIHYDRO-9,10-DIHYDROXYANTHRACENE', '9,10-ANTHRACENEDIOL, 1,4-DIHYDRO-, DISODIUM SALT']"
977046-38-0,4-(2-(2-(2-ALKOXY(C12-C15) ETHOXY) ETHOXY)ETHYL)DISODIUMSULFOSUCCINATE,"175.105, 176.18","['DISODIUM 4-(2-(2-(2-ALKOXYETHOXY)ETHOXY)ETHYL)SULFOSUCCINATE', '4-(2-(2-(2-ALKOXYETHOXY)ETHOXY)ETHYL)SULFOSUCCINATE C12-15 DISODIUM']"
108389-19-1,DISODIUM TETRADECYLPHENOXYBENZENEDISULFONATE,178.34,"['DISODIUM (SULFOPHENOXY)TETRADECYLBENZENESULFONATE', 'benzenesulfonic acid, (sulfophenoxy)tetradecyl-, disodium salt']"
110-30-5,"N,N'-DISTEAROYLETHYLENEDIAMINE","175.105, 175.3, 176.17, 177.12, 177.247, 177.248","['BIS(STEAROYL)ETHYLENEDIAMINE', 'DISTEAROYLETHYLENEDIAMINE', 'ETHYLENEBIS(STEARAMIDE)', ""N,N'-ETHYLENEBIS(OCTADECANAMIDE)"", ""N,N'-1,2-ETHANEDIYLBIS(OCTADECANAMIDE)"", ""N,N'-DISTEAROYLETHYLENEDIAMINE"", ""OCTADECANAMIDE, N,N'-1,2-ETHANEDIYLBIS-"", ""OCTADECANAMIDE, N,N'-ETHYLENEBIS-"", ""4,4'-DISTEAROYLETHYLENEDIAMINE""]"
1119-74-0,DISTEARYL ADIPATE,175.105,"['DIOCTADECYL ADIPATE', 'HEXANEDIOIC ACID, DIOCTADECYL ESTER', 'DIOCTADECYL HEXANEDIOATE', 'ADIPIC ACID, DIOCTADECYL ESTER']"
41319-54-4,DISTEARYLCARBAMOYL CHLORIDE,176.17,"['DIOCTADECYLCARBAMOYL CHLORIDE', 'CARBAMIC CHLORIDE, DIOCTADECYL-']"
29589-99-9,DISTEARYL CITRATE,"175.3, 178.391, 181.27","['1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, DIOCTADECYL DERIV.', 'DIOCTADECYL 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE', 'CITRIC ACID, DISTEARYL DERIV.', 'DIOCTADECYL STEARATE']"
